Timestamp,RSRP,RSSI,SNR
1560822774.06308,-53.6,-47.7,18.3
1560844379.02737,-53.9,-48,19.7
1560865984.71953,-53.5,-47.5,16.9
1560887585.92216,-53.4,-47.6,19.7
1560909186.03084,-53.3,-47.4,19
1560930789.50482,-53.9,-48,19.3
1560952397.58888,-53.5,-47.7,20.9
1560974000.23469,-53.5,-44.5,15.8
1560995603.73004,-53.4,-47.3,15.9
1561017210.48005,-53.6,-47.7,19.7
1561038819.14034,-53.6,-47.7,19.7
1561060421.18312,-53.5,-47.6,18.1
1561082026.75241,-53.2,-47.4,19.6
1561103631.2381,-53.2,-47,15.5
1561125232.30828,-53,-47.1,18.1
1561146838.14421,-53.4,-47.5,19.2
1561168438.65227,-53.2,-47.3,18.9
1561190039.37056,-53.3,-47.4,18.8
1561211643.55557,-53.3,-47.2,16.1
1561233250.65734,-53.2,-47,14.8
1561254852.503,-53.2,-47.2,18.3
1561276454.75461,-53.8,-47.8,17.6
1561298056.84542,-53.8,-44.1,19.6
1561319659.127,-53.7,-47.8,19.5
1561341260.29855,-54.1,-48.2,17.8
1561362862.45314,-53.8,-47.7,17.2
1561384468.05529,-53.8,-47.9,19
1561406073.25126,-53.7,-44.2,18.1
1561427677.30474,-54,-44.4,16.2
1561449285.27225,-54,-48.1,19.1
1561470891.99057,-54,-48.1,19.5
1561492500.51084,-54.2,-48.4,20
1561514106.0942,-53.4,-47.5,19.8
1561535710.63753,-53.4,-47.6,19.1
1561557311.08824,-53.7,-47.7,17.4
1561578914.36638,-53.6,-47.7,19.1
1561600518.11869,-53.6,-47.7,18.8
1561622123.58892,-53.7,-45.4,22.8
1561643725.94684,-53.9,-48.1,19.7
1561665329.41319,-53.8,-48,20
1561686935.15625,-53.7,-45.9,17.8
1561708539.50547,-54,-44.5,18
1561730140.05685,-54,-48.2,19.3
1561751744.38269,-53.8,-47.9,19.4
1561773350.17028,-53.7,-47.9,19.6
1561794952.86121,-53.9,-48,18.3
1561816560.39547,-54.5,-48.6,18.9
1561838162.1754,-53.8,-48,20.2
1561859770.7461,-53.7,-47.8,20.5
1561881375.14846,-53.8,-48,20.3
1561902979.12073,-53.8,-48,20.3
1561924585.06124,-53.9,-47.9,18.1
1561946189.9925,-53.9,-48.1,19.1
1561967791.03244,-53.6,-47.8,19.8
1561989393.37931,-53.6,-47.6,18.3
1562010994.81348,-53.9,-48,19.4
1562032597.2392,-53.7,-43.1,23.9
1562054198.99356,-53.8,-47.9,19.6
1562075801.52567,-53.8,-47.7,16.5
1562097407.63622,-53.5,-47.6,19.6
1562119013.9547,-54,-48.1,18.7
1562140616.6974,-54.1,-48.1,16.6
1562162223.94467,-54,-48.2,18.7
1562183826.22374,-54,-48.2,18.7
1562205427.16336,-53.9,-48,18.7
1562227034.4635,-53.8,-47.9,18
1562248636.45378,-54.5,-48.7,19.1
1562270239.62732,-54.5,-48.7,19.1
1562291846.90503,-53.5,-47.6,19.1
1562313447.09127,-53.5,-47.6,19.1
1562335048.44804,-53.3,-47.5,19.9
1562356655.77043,-53.7,-47.8,18.9
1562378259.75468,-53.7,-47.8,21
1562399861.3683,-53.9,-48,20
1562421464.67266,-53.9,-48,20
1562443070.67175,-54.1,-48.2,18.5
1562464677.10315,-53.9,-48,18.6
1562486284.1522,-54.2,-48.3,18.5
1562507887.75392,-54.3,-48.3,17.3
1562529490.04221,-54.2,-48.4,19.6
1562551096.7012,-53.8,-48,20.1
1562572700.66414,-54.2,-48.3,18.9
1562594306.10242,-54.4,-48.5,18.1
1562615914.55915,-54.2,-48.3,19.1
1562637521.89025,-53.9,-48,19.9
1562659127.90722,-53.7,-47.9,18.7
1562680735.07416,-54.3,-48.5,20
1562702339.79243,-54.4,-48.6,20.4
1562723942.77899,-54.2,-48.3,20.1
1562745547.14886,-54.2,-48.3,20.1
1562767154.21721,-53.9,-48,19.1
1562788754.33155,-54.2,-48.4,19.9
1562810359.39999,-54.2,-48.3,19.3
1562831963.02737,-54.2,-48.3,18.6
1562853570.73561,-54.2,-48.4,19.7
1562875171.15906,-54.1,-48.2,18.7
1562896778.69428,-54.7,-48.8,17.7
1562918385.86098,-54.4,-48.6,19.9
1562939992.08301,-54.1,-48.2,19.4
1562961600.38009,-54,-48.2,19.8
1562983206.90065,-54.2,-48.3,18.7
1563004811.36835,-54.5,-48.6,19.6
1563026415.17594,-54.2,-48.4,19
1563048018.36619,-54.2,-48.4,19
1563069618.98918,-54.1,-48.3,19.6
1563091221.16274,-54.1,-48.3,20.4
1563112827.75388,-54.3,-48.4,19.1
1563134428.85031,-54.2,-46.4,21.1
1563156031.44537,-54.2,-48.4,19.5
1563177639.23195,-54.2,-48.4,19.5
1563199247.25329,-54,-48.2,19.6
1563220848.15904,-54.2,-48.4,19.1
