Timestamp,RSRP,RSSI,SNR
1572147273.9595,-99.9,-93.4,11.8
1572190474.1859,-100.3,-93.8,11.8
1572233678.9688,-99.6,-93.1,11.6
1572276886.79773,-101.4,-94.6,10.8
1572320090.19548,-102.1,-95.1,9.2
1572363293.04289,-101.5,-91.2,7.4
1572406496.12067,-100.1,-93.3,10.3
1572449703.84345,-98.3,-92.1,14.1
1572492904.89881,-100.5,-90.7,9.7
1572536109.26607,-98.7,-92.4,13.1
1572579318.16379,-100.3,-93.7,11.1
1572622521.84383,-100,-93.5,11.5
1572665726.0801,-99.3,-92.8,12.1
1572708932.405,-99.3,-92.8,12.1
1572752136.20096,-98.9,-92.6,13.4
1572795342.21813,-100.7,-94,11.1
1572838547.75115,-99.9,-93.4,12.3
1572881756.16461,-100.6,-94,11
1572924956.30953,-99.3,-89,12.6
1572968161.48176,-100.4,-93.6,10.6
1573011366.61098,-100.8,-90.7,9.4
1573054567.82398,-100.1,-93.5,10.9
1573097775.07924,-100.8,-93.8,9.7
1573140975.81215,-103,-95.5,7.5
1573184181.99837,-100.3,-93.4,9.9
1573227389.53948,-98.9,-92.6,13
1573270596.67159,-99,-92.4,11.6
1573313802.16902,-100.9,-94.1,10.8
1573357009.18578,-97.4,-91.2,14.3
1573400210.882,-100.2,-90.5,11.1
1573443410.92363,-104.1,-96.5,7.7
1573486615.47486,-99.8,-89.8,11.9
1573529819.86258,-100.9,-94.1,10.6
1573573028.16754,-99.3,-90.2,11.3
1573616234.42647,-97.9,-91.8,14.6
1573659435.63022,-96.8,-90.7,15.1
1573702638.64611,-98,-91.8,13.9
1573745847.22029,-100.7,-94,10.5
1573789050.83987,-98.7,-92.2,12.4
1573832254.55824,-100.1,-91,11.3
1573875462.10932,-99.7,-93.3,12.1
1573918666.74699,-97.6,-91.4,13.5
1573961871.11185,-98.2,-91.9,13.5
1574005073.09293,-96.5,-90.3,14.7
1574048273.80068,-102,-92,10.9
1574091476.16375,-97.3,-91.1,14.1
1574134679.73965,-102.3,-95.3,9.6
1574177881.69577,-97.1,-90.9,13.9
1574221088.3698,-98.9,-92.5,11.9
1574264295.28677,-100.4,-93.6,10.2
1574307495.38775,-100.3,-93.7,11
1574350700.8946,-100.9,-94.1,10.8
1574393905.26193,-97.9,-91.7,14.1
1574437114.12949,-100.2,-93.7,11.9
1574480317.84359,-99.6,-93.2,12.2
1574523518.61687,-101,-94.4,11.3
1574566727.45999,-98.7,-92.4,13.1
1574609929.54178,-100.9,-94.2,11.3
1574653135.50068,-97.8,-91.6,13.9
1574696340.10183,-95,-89,16.6
1574739545.91204,-94.6,-88.5,15.7
1574782750.60987,-94.9,-89,16.8
1574825953.54583,-94,-88,16.7
1574869160.33995,-93.6,-87.7,17.4
1574912367.37414,-93.4,-84.7,16.5
1574955575.76604,-94,-87.9,16.2
1574998781.2977,-70.7,-64.9,25
1575041988.19861,-95.1,-87.9,9.4
1575085192.97595,-86.9,-79.2,12.2
1575128393.4079,-96.6,-88.6,6.9
1575171593.92371,-88,-81.3,10.4
1575214797.93468,-96.9,-88.9,6.9
1575258004.95876,-85.1,-78.6,11.6
1575301208.21544,-102.5,-92.7,2.9
1575344410.71573,-103.9,-93.3,1.9
1575387614.29034,-104.7,-92.7,1.1
1575430814.55098,-106.4,-92.7,0
1575474023.15141,-105.6,-94,0.6
1575517226.01509,-112.8,-95.8,-7.2
1575560434.70345,-97.1,-89.9,9.1
1575603634.82121,-101.5,-92.6,4.7
1575646838.27198,-90.6,-81.1,13.6
1575690039.64315,-80.8,-71.8,3.4
1575733240.18238,-82.3,-73.6,4.6
1575776441.7542,-82.6,-72.4,3.6
1575819645.14934,-81.8,-72.7,5.2
1575862850.64336,-82.2,-73,3.2
1575906057.82351,-62.3,-55.7,11
1575949263.23563,-60.5,-52.5,6.8
1575992469.10436,-63.5,-54,10.3
1576035674.62914,-63,-52.1,3.1
1576078883.51593,-63,-54.3,4.8
1576122086.42883,-59.8,-51.9,6.4
1576165295.33708,-63.4,-55.4,6.1
1576208503.34266,-55.6,-48.1,13.3
1576251711.52077,-55.4,-48.7,10.5
1576294913.75712,-54.4,-47.8,12.5
1576338114.35898,-55.5,-48.2,9.3
1576381319.54834,-55.5,-48.7,10.8
1576424526.71834,-56.2,-45.6,11.3
1576467731.36417,-55.3,-48.7,12.3
1576510937.33171,-56.5,-48.4,7.6
1576554140.42338,-54.5,-47.6,11.6
1576597341.60163,-56.7,-50.5,15.3
1576640544.37785,-57.6,-48.6,14.6
1576683745.76048,-57.3,-49.7,12.9
1576726950.10854,-57.4,-51,13.5
1576770150.99758,-57.3,-48.3,12.7
1576813356.0386,-57.2,-50.7,12.4
1576856559.85184,-55.8,-48.6,9.2
1576899768.47928,-101.5,-93.6,7.1
1576942969.42729,-83,-77.2,22.4
1576986175.82328,-83.5,-77.6,20.9
1577029382.4529,-83.2,-77.4,24.9
1577072588.29713,-85.4,-79.2,20.5
1577115789.40272,-82.1,-73.6,23.6
1577158996.78994,-80.4,-74.6,22.8
1577202200.06918,-80.9,-75.1,21.6
1577245400.99376,-80.7,-74.9,22.6
1577288605.50766,-82.6,-74.7,19.7
1577331813.00387,-81.4,-75.6,23
1577375014.95536,-81.8,-76,21.7
1577418219.35439,-81.1,-75.3,21.1
1577461423.30529,-81,-75.2,22.2
1577504627.09506,-81.5,-75.7,22.1
1577547834.02441,-81.4,-75.6,22.5
1577591039.60116,-81.3,-71.8,22.3
1577634241.24006,-84.2,-78.3,18
1577677448.05467,-82.1,-76.3,20.9
1577720654.12177,-88.6,-82.6,17.5
1577763858.35716,-87.5,-81.5,18.8
1577807065.64158,-88.7,-82.6,17.6
1577850270.97951,-88.9,-80.1,16
1577893474.63696,-88.5,-82.3,15.5
1577936675.91379,-86.7,-80.6,17.4
1577979880.42408,-87.2,-81.2,16.9
1578023083.04262,-88.1,-82,16.9
1578066284.35254,-86.4,-80.5,19
1578109488.92161,-87.2,-81.3,18.8
1578152694.08023,-85.1,-79.1,19.2
1578195899.39679,-88.1,-82,17.4
1578239102.9693,-70.9,-64.6,13.4
1578282309.47957,-67.8,-60.3,7.2
1578325518.3823,-75.1,-68,11.9
1578368723.09024,-72.6,-65.4,9.2
1578411923.31478,-71.5,-62.2,7.4
1578455127.43577,-64.5,-57.2,8.7
1578498330.42207,-64.9,-57.7,9.7
1578541536.44481,-64.2,-57,9
1578584745.17773,-64.4,-57.3,9.4
1578627950.74805,-65.2,-54.2,8.7
1578671152.33475,-63.2,-54.3,9.5
1578714358.14651,-60,-52.8,9
1578757558.85735,-58.9,-50.3,6
1578800764.44251,-61.1,-52.5,5.8
1578843966.5654,-61.3,-51.3,5.3
1578887172.36326,-56.6,-48.3,5.7
1578930377.29183,-62.9,-53.9,9.7
1578973585.44288,-63.5,-53.9,7.3
1579016786.26377,-62.9,-53.5,10.2
1579059986.41121,-62.1,-53.8,12
1579103191.84568,-60.9,-52.8,12.3
1579146392.84203,-62.3,-53.5,9.4
1579189600.98183,-56.7,-48.7,14.3
1579232806.8375,-57.8,-50,12.7
1579276010.93174,-57.3,-49.3,14.1
1579319218.4573,-53.9,NaN,NaN
1579362419.42109,-55.2,-48,16.5
1579405625.38103,-58.7,-48.1,14.9
1579448832.05551,-58.5,-50.1,11.7
1579492039.70275,-62.4,-53.3,11.3
1579535241.46624,-58.8,-50.6,12.4
1579578443.55441,-60.4,-51.1,12.3
1579621647.69182,-60.2,-53.5,13.6
1579664855.75499,-61.1,-53.2,11.4
1579708058.10739,-60.4,-53.1,12.2
1579751264.32809,-60.9,-53.1,11.9
1579794468.29627,-60.5,-53,12.7
1579837668.76396,-54.2,-47.5,19.5
1579880873.46206,-56.3,-49.8,16.9
1579924081.70179,-55.4,-48.2,16.7
1579967286.6479,-60.5,-53.1,13.2
1580010487.49708,-55.9,-48.8,15.3
1580053695.19288,-58.7,-49.6,15.1
1580096895.83445,-59.7,-49.5,10.3
1580140098.96423,-55.7,-48.5,17.2
1580183307.17044,-56.8,-48.6,15.9
1580226513.96694,-58.9,-50,11.8
1580269714.14314,-57.8,-49.5,14.1
1580312920.89446,-56.7,-48.9,16.1
1580356129.44286,-56.9,-48.7,12.7
1580399332.66057,-57.6,-49.6,14.1
1580442539.31634,-56.5,-48.7,15.9
1580485743.08526,-58.1,-50.6,14.4
